file,dataset_group,status,error,shape,dimensions,dtype,elements,unique_values,non_finite_values,minimum,maximum
Rehab_assessment/d02_processed_data/156/015_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,465,0,-84.18943789951066,42.68741778763085
Rehab_assessment/d02_processed_data/156/016_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/016_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/016_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,307,0,-0.2378083489570315,0.24667762862298304
Rehab_assessment/d02_processed_data/156/017_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/017_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/017_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,425,0,-6.766100778546196,3.3294155716589273
Rehab_assessment/d02_processed_data/156/018_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/018_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/018_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,361,0,-0.8733013742410094,0.2900735059124031
Rehab_assessment/d02_processed_data/156/019_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/019_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/019_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,602,0,-78.86260729276952,265.8841522881553
Rehab_assessment/d02_processed_data/156/020_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1,0,0.0,0.0
